szkola,id_szkoly,oddzial,miejsca,chetni_ogolem,chetni_ogolem_oczekujacy,chetni_pierwsza_pref,chetni_pierwsza_pref_oczekujacy,wskaznik,pobrano
Ogólnokształcące Liceum Jezuitów z Oddziałami Dwujęzycznymi,364,Uniwersyteckie Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Pawła Adamowicza w Gdańsku  - RAZEM,112,2,0,0,31,0.02,2026-05-16T02:04:45
Akademickie LO Lingwista im. Hymnu Narodowego,366,"Akademickie Liceum Ogólnokształcące ""Lingwista"" im. Hymnu Narodowego - 1a politechniczna (mat.-fiz.) lub (mat.-geo.)",15,0,3,0,0,0.0,2026-05-16T02:04:45
Akademickie LO Lingwista im. Hymnu Narodowego,366,"Akademickie Liceum Ogólnokształcące ""Lingwista"" im. Hymnu Narodowego - 1b humanistyczna (historia, j. polski lub wos)",14,0,2,0,0,0.0,2026-05-16T02:04:45
Akademickie LO Lingwista im. Hymnu Narodowego,366,"Akademickie Liceum Ogólnokształcące ""Lingwista"" im. Hymnu Narodowego - 1c medyczna (biol.-chem.)",15,0,6,0,0,0.0,2026-05-16T02:04:45
Akademickie LO Lingwista im. Hymnu Narodowego,366,"Akademickie Liceum Ogólnokształcące ""Lingwista"" im. Hymnu Narodowego - 1d społeczno-ekonomiczna (geo.-wos)",6,0,2,0,0,0.0,2026-05-16T02:04:45
Akademickie LO Lingwista im. Hymnu Narodowego,366,"Akademickie Liceum Ogólnokształcące ""Lingwista"" im. Hymnu Narodowego - 1e biologiczno-humanistyczna (biol. - pol.)",15,0,3,0,0,0.0,2026-05-16T02:04:45
Akademickie LO Lingwista im. Hymnu Narodowego,366,"Akademickie Liceum Ogólnokształcące ""Lingwista"" im. Hymnu Narodowego  - RAZEM",65,0,0,0,0,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące TEB Edukacja,502,Liceum Ogólnokształcące TEB Edukacja w Gdańsku - 01KF Klasa filmowa,24,1,6,0,0,0.04,2026-05-16T02:04:45
Liceum Ogólnokształcące TEB Edukacja,502,Liceum Ogólnokształcące TEB Edukacja w Gdańsku - 01MR Klasa medyczno-ratownicza,24,0,7,0,1,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące TEB Edukacja,502,Liceum Ogólnokształcące TEB Edukacja w Gdańsku - 01PR Klasa prawnicza,24,0,6,0,0,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące TEB Edukacja,502,Liceum Ogólnokształcące TEB Edukacja w Gdańsku - 02KK Klasa kryminalistyczna,24,0,8,0,1,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące TEB Edukacja,502,Liceum Ogólnokształcące TEB Edukacja w Gdańsku - 02KP Klasa psychologiczna,35,0,16,0,6,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące TEB Edukacja,502,Liceum Ogólnokształcące TEB Edukacja w Gdańsku - 02TK Klasa kosmetologiczna,35,0,14,0,6,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące TEB Edukacja,502,Liceum Ogólnokształcące TEB Edukacja w Gdańsku - 11AW Klasa aranżacja wnętrz,24,0,9,0,0,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące TEB Edukacja,502,Liceum Ogólnokształcące TEB Edukacja w Gdańsku - 11PG Klasa projektowania graficznego,24,0,6,0,0,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące TEB Edukacja,502,Liceum Ogólnokształcące TEB Edukacja w Gdańsku - 1KJ Klasa językowa,24,0,7,0,1,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące TEB Edukacja,502,Liceum Ogólnokształcące TEB Edukacja w Gdańsku - 1KMiK Klasa marketing i kreacja,24,0,5,0,0,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące TEB Edukacja,502,Liceum Ogólnokształcące TEB Edukacja w Gdańsku - 1MEiKOM Klasa media i komunikacja,24,0,4,0,0,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące TEB Edukacja,502,Liceum Ogólnokształcące TEB Edukacja w Gdańsku - 1SiW Klasa stylizacja i wizerunek,24,0,12,0,2,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące TEB Edukacja,502,Liceum Ogólnokształcące TEB Edukacja w Gdańsku  - RAZEM,310,1,0,0,17,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące Thinking Zone,638,Liceum Ogólnokształcące Thinking Zone - 1b [O] biz-ang (ang-hisz),18,0,1,0,0,0.0,2026-05-16T02:04:45
Liceum Ogólnokształcące Thinking Zone,638,Liceum Ogólnokształcące Thinking Zone  - RAZEM,18,0,0,0,0,0.0,2026-05-16T02:04:45
